user_intents
Sentence,Intent
Find beginner-friendly crochet tutorials.,Browsing the Web
Search for advice on reducing household expenses.,Browsing the Web
Look up local photography clubs.,Browsing the Web
Find easy recipes for low-sodium meals.,Browsing the Web
Search for tips on organizing important documents.,Browsing the Web
Look up how to fix a clogged sink.,Browsing the Web
Find the best hiking trails for beginners.,Browsing the Web
Search for instructions on installing curtains.,Browsing the Web
Look up the benefits of journaling for seniors.,Browsing the Web
Find local online safety workshops.,Browsing the Web
Search for instructions on using a tablet.,Browsing the Web
Look up quick and healthy snack ideas.,Browsing the Web
Find the best deals on ergonomic chairs.,Browsing the Web
Search for creative writing prompts for beginners.,Browsing the Web
Look up simple exercises for hand strength.,Browsing the Web
Find tips for creating a memory scrapbook.,Browsing the Web
Search for pet care tips for senior citizens.,Browsing the Web
Look up senior discounts at local theaters.,Browsing the Web
Find a tutorial on digital photo restoration.,Browsing the Web
Search for resources on grief counseling.,Browsing the Web
Look up how to declutter my kitchen.,Browsing the Web
Find senior-friendly apps for staying active.,Browsing the Web
Search for online recipe books for seniors.,Browsing the Web
Look up how to arrange furniture for small spaces.,Browsing the Web
Find tips for traveling with mobility aids.,Browsing the Web
Search for the best vitamins for senior health.,Browsing the Web
Look up resources on elder abuse prevention.,Browsing the Web
Find instructions for creating a home inventory.,Browsing the Web
Search for budget-friendly gift ideas.,Browsing the Web
Look up how to troubleshoot computer issues.,Browsing the Web
Find tips for taking care of grandchildren.,Browsing the Web
Search for local farmer’s markets.,Browsing the Web
Look up how to clean silverware.,Browsing the Web
Find a beginner’s guide to composting.,Browsing the Web
Search for advice on caring for hardwood floors.,Browsing the Web
Look up creative gift wrapping ideas.,Browsing the Web
Find tips for preparing for bad weather.,Browsing the Web
Search for relaxing hobbies for seniors.,Browsing the Web
Look up how to secure my online accounts.,Browsing the Web
Find a recipe for oatmeal cookies.,Browsing the Web
Search for tips on improving focus and memory.,Browsing the Web
Look up how to sew a button on a shirt.,Browsing the Web
Find senior-friendly video calling apps.,Browsing the Web
Search for the latest updates on public transportation.,Browsing the Web
Look up instructions on changing lightbulbs safely.,Browsing the Web
Find a simple recipe for chicken soup.,Browsing the Web
Search for exercises to improve balance.,Browsing the Web
Look up the nearest pharmacy.,Browsing the Web
Can you find the weather forecast for the week?,Browsing the Web
Search for nearby senior centers.,Browsing the Web
Find tips for gardening in small spaces.,Browsing the Web
Look up the symptoms of high blood pressure.,Browsing the Web
Find local events for seniors.,Browsing the Web
Search for the best walking trails near me.,Browsing the Web
Can you find instructions for setting up a new smartphone?,Browsing the Web
Look up how to bake an apple pie.,Browsing the Web
Search for simple stretches to relieve back pain.,Browsing the Web
Find a guide to managing diabetes.,Browsing the Web
Search for online book clubs for seniors.,Browsing the Web
Find nearby museums or historical sites.,Browsing the Web
Look up how to renew my driver’s license.,Browsing the Web
Search for instructions on using video calling apps.,Browsing the Web
Find the latest updates on social security.,Browsing the Web
Look up easy knitting patterns for beginners.,Browsing the Web
Search for senior discounts on travel.,Browsing the Web
Find a list of senior-friendly fitness classes.,Browsing the Web
Look up how to troubleshoot Wi-Fi issues.,Browsing the Web
Search for nearby community volunteer programs.,Browsing the Web
Find tips for maintaining joint health.,Browsing the Web
Look up how to write a will.,Browsing the Web
Search for the best audiobooks for seniors.,Browsing the Web
Find a nearby public library.,Browsing the Web
Search for senior-friendly smartphone tutorials.,Browsing the Web
Look up how to set up email on a new device.,Browsing the Web
Find information on Medicare plans.,Browsing the Web
Search for classical music playlists.,Browsing the Web
Call John.,Calling a Person
Can you dial Mark's number?,Calling a Person
Please call Sarah right now.,Calling a Person
"I need to call Robert, his number is in my contacts.",Calling a Person
Dial Sairas number.,Calling a Person
Please call my mom.,Calling a Person
Can you ring up Jane on her cell?,Calling a Person
Could you call Fatima's cell phone?,Calling a Person
Make a call to Peter at his office.,Calling a Person
Give Asmeer a ring at his workplace.,Calling a Person
Can you connect me to Ali on his home number?,Calling a Person
Call my dad on his mobile phone.,Calling a Person
"Please make a phone call to Anna, her number's saved.",Calling a Person
Dial my friend Steve at 555-0123.,Calling a Person
My pal Steve's number is 03332224319..,Calling a Person
Could you call Chris on Skype?,Calling a Person
"Call Lisa, please.",Calling a Person
Please call Mike's number for a business update.,Calling a Person
"Make a call to the office, it’s urgent.",Calling a Person
Connect me to my brother in California.,Calling a Person
"Call Tom's mobile, it’s an emergency.",Calling a Person
Please ring up Alex right away.,Calling a Person
Please give Shakeel a call immediately.,Calling a Person
Is it possible for you to call Mark?.,Calling a Person
Can you make a call to my friend in New York?,Calling a Person
Call my sister on her work phone.,Calling a Person
Can you dial Alex at his office?,Calling a Person
Please call my grandpa.,Calling a Person
Make a call to the delivery person.,Calling a Person
Dial Sam's number for me.,Calling a Person
Ring up the family doctor for an update.,Calling a Person
Call my coworker Jane.,Calling a Person
Connect me to the pizza delivery service.,Calling a Person
Can you call Sarah and confirm the schedule?,Calling a Person
Please make a call to Jack at 3 PM.,Calling a Person
Call Linda on her personal number.,Calling a Person
Dial the IT department.,Calling a Person
Ring up Ahmed and let him know I’ll be late.,Calling a Person
Connect me to the vet for an update on my pet.,Calling a Person
Call my mom's mobile.,Calling a Person
Please ring up my daughter at 8 PM.,Calling a Person
Dial Sarah’s number; it’s urgent.,Calling a Person
Call the repair technician for a quick fix.,Calling a Person
Can you connect me to the nearest help desk?,Calling a Person
Call my neighbor to ask about the package.,Calling a Person
Ring up my best friend on WhatsApp.,Calling a Person
Please make a call to John and ask for the details.,Calling a Person
Call my lawyer for a quick consultation.,Calling a Person
Dial my son's teacher for a parent meeting.,Calling a Person
Connect me to the hospital receptionist.,Calling a Person
Call Sam’s mobile for an emergency.,Calling a Person
Ring up my cousin in Lahore.,Calling a Person
Dial my husband’s work phone.,Calling a Person
Call Jane at 0333-2224319.,Calling a Person
Connect me to Mark’s office.,Calling a Person
Call the pharmacy and check the status.,Calling a Person
Please call my grandpa at home.,Calling a Person
Ring up Rachel to confirm dinner plans.,Calling a Person
Can you dial Michael’s home phone?,Calling a Person
Call my niece and remind her about the party.,Calling a Person
Please connect me to my friend in the UK.,Calling a Person
Dial my cousin’s landline.,Calling a Person
Call the plumber and ask for a quote.,Calling a Person
Ring up Jack’s number for delivery confirmation.,Calling a Person
Please call Sarah and update her about the meeting.,Calling a Person
Dial the contractor for the house repairs.,Calling a Person
Call my uncle in Canada.,Calling a Person
Ring up the transport company for scheduling.,Calling a Person
Dial the electrician for fixing the lights.,Calling a Person
Connect me to my sister in Germany.,Calling a Person
Call the school and ask about admission details.,Calling a Person
Please make a call to my niece in Islamabad.,Calling a Person
Dial Mark’s personal line for urgent work.,Calling a Person
Call my aunt’s mobile number.,Calling a Person
Ring up the bookstore for the order status.,Calling a Person
Can you connect me to the hotel front desk?,Calling a Person
Call my wife on her work number.,Calling a Person
Please make a call to the local taxi service.,Calling a Person
Dial the florist to confirm the delivery.,Calling a Person
Ring up the garage to book a service.,Calling a Person
Call my sister-in-law at her workplace.,Calling a Person
Please connect me to customer support for a query.,Calling a Person
Dial my brother-in-law’s number.,Calling a Person
Call my mother’s landline.,Calling a Person
Ring up my friend Alex for coffee plans.,Calling a Person
Dial the library for book availability.,Calling a Person
Connect me to the nearest helpline.,Calling a Person
Call the shop and ask about the refund.,Calling a Person
Please make a phone call to my colleague.,Calling a Person
Dial the event organizer for an update.,Calling a Person
Call my niece and confirm her arrival time.,Calling a Person
Ring up Sam's number on Skype.,Calling a Person
Please connect me to the travel agent.,Calling a Person
Dial the delivery service to track the package.,Calling a Person
Call the florist for the Valentine’s Day bouquet.,Calling a Person
Connect me to my son’s mobile.,Calling a Person
Ring up my brother-in-law for the family meeting.,Calling a Person
Please make a call to the customer care center.,Calling a Person
Dial the real estate agent for inquiries.,Calling a Person
Call my friend Sarah to ask about her weekend.,Calling a Person
Ring up the car rental service.,Calling a Person
Please dial my boss’s number immediately.,Calling a Person
Connect me to the IT service desk.,Calling a Person
Call my daughter to remind her about the meeting.,Calling a Person
Dial the cab service for pick-up.,Calling a Person
Ring up the community center for event details.,Calling a Person
Call my father-in-law at home.,Calling a Person
Dial the veterinarian for an update on my dog.,Calling a Person
Call my mother and tell her I’ll be late.,Calling a Person
Ring up the sports club for the training schedule.,Calling a Person
Please make a call to my dentist’s office.,Calling a Person
Dial the HR manager for job application details.,Calling a Person
Connect me to my husband on his phone.,Calling a Person
Call the nearest courier service.,Calling a Person
Dial the security office for a complaint.,Calling a Person
Ring up the gas company for a bill inquiry.,Calling a Person
Please call my daughter’s school.,Calling a Person
Dial my uncle’s mobile in New York.,Calling a Person
Call my aunt in Australia.,Calling a Person
Connect me to the nearest emergency service.,Calling a Person
Please call the neighborhood association.,Calling a Person
Dial the local music store for guitar strings.,Calling a Person
Ring up my friend Alex for brunch.,Calling a Person
Dial the university office for registration details.,Calling a Person
Call the repairman for a washing machine fix.,Calling a Person
Please make a call to the insurance company.,Calling a Person
Dial the theater for ticket bookings.,Calling a Person
Call my cousin and wish him happy birthday.,Calling a Person
Ring up my sister for family dinner plans.,Calling a Person
Call my brother and check his travel plans.,Calling a Person
Dial the bakery for a cake order.,Calling a Person
Connect me to my nephew in college.,Calling a Person
Ring up my friend in Karachi for festival plans.,Calling a Person
Dial the tech support for troubleshooting.,Calling a Person
Call the animal shelter and ask about adoption.,Calling a Person
Please make a phone call to my landlord.,Calling a Person
Connect me to the museum for opening hours.,Calling a Person
Dial the hospital for an appointment.,Calling a Person
Ring up my friend James for a quick chat.,Calling a Person
Please make a call to my friend in Canada.,Calling a Person
Call the nearby gym for membership details.,Calling a Person
Ring up the electronics store for prices.,Calling a Person
Dial the flower shop for bouquet ideas.,Calling a Person
Call the nearest clinic for walk-in hours.,Calling a Person
Please call the auto shop for a repair quote.,Calling a Person
Dial my cousin in Lahore for wedding plans.,Calling a Person
Ring up the bank for loan status.,Calling a Person
Call my niece and check her schedule.,Calling a Person
Dial the local government office for inquiries.,Calling a Person
Connect me to the driving school.,Calling a Person
Please call the tailor for a fitting appointment.,Calling a Person
Ring up my coworker for the project update.,Calling a Person
Dial my friend in Islamabad for recommendations.,Calling a Person
Call the movers and confirm the timing.,Calling a Person
Ring up the housekeeping service.,Calling a Person
Call my sister on her work phone.,Calling a Person
Can you dial Alex at his office?,Calling a Person
Please call my grandpa.,Calling a Person
Make a call to the delivery person.,Calling a Person
Dial Sam's number for me.,Calling a Person
Ring up the family doctor for an update.,Calling a Person
Call my coworker Jane.,Calling a Person
Please call my mom.,Calling a Person
Please call 0333-222-4319.,Calling a Person
Please call +92 333 2138254.,Calling a Person
Please call 03368317279.,Calling a Person
Make a call to 0339-6001414.,Calling a Person
Connect me to the pizza delivery service.,Calling a Person
Can you call Sarah and confirm the schedule?,Calling a Person
Please make a call to Jack at 3 PM.,Calling a Person
Call Linda on her personal number.,Calling a Person
Dial the IT department.,Calling a Person
Ring up Ahmed and let him know I’ll be late.,Calling a Person
Connect me to the vet for an update on my pet.,Calling a Person
Call my mom's mobile.,Calling a Person
Please ring up my daughter at 8 PM.,Calling a Person
Dial Sarah’s number; it’s urgent.,Calling a Person
Call the repair technician for a quick fix.,Calling a Person
Can you connect me to the nearest help desk?,Calling a Person
Call my neighbor to ask about the package.,Calling a Person
Ring up my best friend on WhatsApp.,Calling a Person
Please make a call to John and ask for the details.,Calling a Person
Call my lawyer for a quick consultation.,Calling a Person
Dial my son's teacher for a parent meeting.,Calling a Person
Connect me to the hospital receptionist.,Calling a Person
Call Sam’s mobile for an emergency.,Calling a Person
Ring up my cousin in Lahore.,Calling a Person
Dial my husband’s work phone.,Calling a Person
Call Jane at 555-7890.,Calling a Person
Connect me to Mark’s office.,Calling a Person
Call the pharmacy and check the status.,Calling a Person
Please call my grandpa at home.,Calling a Person
Ring up Rachel to confirm dinner plans.,Calling a Person
Can you dial Michael’s home phone?,Calling a Person
Call my niece and remind her about the party.,Calling a Person
Please connect me to my friend in the UK.,Calling a Person
Dial my cousin’s landline.,Calling a Person
Call the plumber and ask for a quote.,Calling a Person
Ring up Jack’s number for delivery confirmation.,Calling a Person
Please call Sarah and update her about the meeting.,Calling a Person
Dial the contractor for the house repairs.,Calling a Person
Call my uncle in Canada.,Calling a Person
Ring up the transport company for scheduling.,Calling a Person
Dial the electrician for fixing the lights.,Calling a Person
Open Spotify.,Opening Applications
Can you launch Instagram?,Opening Applications
Please open WhatsApp.,Opening Applications
Open Google Chrome.,Opening Applications
Can you start the weather app for me?,Opening Applications
Launch YouTube.,Opening Applications
Open the calendar app and show me my meetings.,Opening Applications
Start the music player.,Opening Applications
Can you open Gmail?,Opening Applications
Please open Facebook.,Opening Applications
Launch the camera app.,Opening Applications
Open Twitter.,Opening Applications
Can you run the Notes app?,Opening Applications
Start the Maps app to check the route.,Opening Applications
Please open the calculator.,Opening Applications
Open Slack.,Opening Applications
Can you launch the clock app for a timer?,Opening Applications
Start my email app to check for updates.,Opening Applications
Please open Netflix for me.,Opening Applications
Open the settings app.,Opening Applications
Please open the health tracking app.,Opening Applications
Can you launch the reading app?,Opening Applications
Start the camera for me to take a picture.,Opening Applications
Open the video calling app.,Opening Applications
Please launch my contacts app.,Opening Applications
Can you open the news app to check headlines?,Opening Applications
Open the weather app to check the temperature.,Opening Applications
Start my photo gallery.,Opening Applications
Please open my reminders app.,Opening Applications
Launch the podcast app for me.,Opening Applications
Can you start the audiobook app?,Opening Applications
Open my banking app to check my balance.,Opening Applications
Please launch the magnifier app.,Opening Applications
Start the flashlight.,Opening Applications
Can you open the grocery shopping app?,Opening Applications
Open my medication reminder app.,Opening Applications
Please start the alarm clock app.,Opening Applications
Can you open the meditation app?,Opening Applications
Launch the exercise tracker.,Opening Applications
Open the appointment scheduler.,Opening Applications
Please open the notes app for a shopping list.,Opening Applications
Start my browser to check for recipes.,Opening Applications
Can you open my translation app?,Opening Applications
Open my video editor app.,Opening Applications
Launch the senior fitness app.,Opening Applications
Please open the Zoom app for my meeting.,Opening Applications
Start the audiobook player.,Opening Applications
Open my stock market app.,Opening Applications
Can you launch my digital wallet?,Opening Applications
Open the document viewer.,Opening Applications
Start my WhatsApp video chat.,Opening Applications
Open my to-do list app.,Opening Applications
Launch my library app for audiobooks.,Opening Applications
Please open the home monitoring app.,Opening Applications
Can you start the music app for classical music?,Opening Applications
Open my virtual assistant app.,Opening Applications
Start the recipe app for dinner ideas.,Opening Applications
Launch my doctor's portal app.,Opening Applications
Open my food delivery app.,Opening Applications
Please start my call recorder app.,Opening Applications
Open my smart home app.,Opening Applications
Can you launch the chess app?,Opening Applications
Open my elder care app.,Opening Applications
Start my weather widget.,Opening Applications
Open the journaling app.,Opening Applications
Launch the meditation timer.,Opening Applications
Open the reminders app to set a task.,Opening Applications
Please start the app for online groceries.,Opening Applications
Can you open the health checkup app?,Opening Applications
Open the home budgeting app.,Opening Applications
Start my calculator for expenses.,Opening Applications
Please launch my Fitbit app.,Opening Applications
Open my Kindle reader.,Opening Applications
Start my health reports app.,Opening Applications
Launch the clock app for an alarm.,Opening Applications
Please open the app for virtual museum tours.,Opening Applications
Can you open the gardening tips app?,Opening Applications
Open the dictionary app for me.,Opening Applications
Start the family calendar app.,Opening Applications
Please launch the Skype app.,Opening Applications
Open the virtual piano app.,Opening Applications
Start my train schedule app.,Opening Applications
Open my travel booking app.,Opening Applications
Please launch the chess game app.,Opening Applications
Can you start the senior exercise app?,Opening Applications
Open the wellness tracker.,Opening Applications
Launch the flashlight for low light.,Opening Applications
Please start my blood pressure monitor app.,Opening Applications
Open the photo album app.,Opening Applications
Can you open the pet care app?,Opening Applications
Launch the app to view local events.,Opening Applications
Open the voice recorder app.,Opening Applications
Please launch the TV guide app.,Opening Applications
Can you open the app to book taxis?,Opening Applications
Start the map app for walking directions.,Opening Applications
Open the local news app.,Opening Applications
Launch my diabetes tracker.,Opening Applications
Please start the mental health check-in app.,Opening Applications
Open the Spotify app for old songs.,Opening Applications
Can you open the medication tracker?,Opening Applications
Launch the hearing aid companion app.,Opening Applications
Open my Kindle app to resume reading.,Opening Applications
Start the public transport app.,Opening Applications
Open the photography guide app.,Opening Applications
Please launch the CPR training app.,Opening Applications
Can you start the gardening calendar?,Opening Applications
Open the blood sugar monitor app.,Opening Applications
Launch my walking tracker.,Opening Applications
Start my Facebook messenger.,Opening Applications
Open the weather radar app.,Opening Applications
Can you launch the mental puzzle game?,Opening Applications
Please open the online crossword app.,Opening Applications
Open the car service app.,Opening Applications
Start the local attractions app.,Opening Applications
Launch the podcast for true crime.,Opening Applications
Please open the quick grocery list app.,Opening Applications
Can you open the video guide for exercises?,Opening Applications
Start my digital health coach.,Opening Applications
Launch the birdwatching app.,Opening Applications
Open my pension tracker app.,Opening Applications
Please launch my audiobook app for stories.,Opening Applications
Can you start the finance tracker?,Opening Applications
Open my book club app.,Opening Applications
Start the news highlights app.,Opening Applications
Please open the mindfulness app.,Opening Applications
Open my appointment reminder app.,Opening Applications
Launch the senior safety app.,Opening Applications
Can you open the music player for relaxation?,Opening Applications
Start the nearby attractions app.,Opening Applications
Please launch the app to check recipes.,Opening Applications
Open the blood pressure log app.,Opening Applications
Can you open the sightseeing guide app?,Opening Applications
Start the Sudoku app.,Opening Applications
Launch my senior activity planner.,Opening Applications
Please start the online shopping app.,Opening Applications
Open the calculator for splitting bills.,Opening Applications
Can you open the audiobooks for bedtime?,Opening Applications
Start the museum guide app.,Opening Applications
Open my virtual walking tour app.,Opening Applications
Please launch the caregiving app.,Opening Applications
Start the music player for a playlist.,Opening Applications
Open the travel guide app for seniors.,Opening Applications
Launch the video player for family videos.,Opening Applications
Please start the energy tracker app.,Opening Applications
Can you open my retirement fund app?,Opening Applications
Open the hobby tutorials app.,Opening Applications
Start the low-vision accessibility app.,Opening Applications
Launch my grandkids’ photo album.,Opening Applications
Please start the family chat app.,Opening Applications
Open the language learning app.,Opening Applications
Can you open the voice-to-text app?,Opening Applications
Start the daily wellness tips app.,Opening Applications
Launch the app to search podcasts.,Opening Applications
Open my safety contacts app.,Opening Applications
Please start the activity monitor.,Opening Applications
Open the home organizer app.,Opening Applications
Start the senior citizen helpline app.,Opening Applications
Launch the call blocking app.,Opening Applications
Please open the large text reader.,Opening Applications
Can you open the senior-friendly games app?,Opening Applications
Open the music player for nostalgic songs.,Opening Applications
Start the local weather station app.,Opening Applications
Launch the budget planner for me.,Opening Applications
Open my smart lights app.,Opening Applications
Please launch the reminders app.,Opening Applications
Open the community news app.,Opening Applications
Can you open the audiobook app for relaxing?,Opening Applications
Start the city guide for senior tours.,Opening Applications
Launch the senior puzzle app.,Opening Applications
Open the checklist app for groceries.,Opening Applications
Please open the health tracking app.,Opening Applications
Can you launch the reading app?,Opening Applications
Start the camera for me to take a picture.,Opening Applications
Open the video calling app.,Opening Applications
Please launch my contacts app.,Opening Applications
Can you open the news app to check headlines?,Opening Applications
Open the weather app to check the temperature.,Opening Applications
Start my photo gallery.,Opening Applications
Please open my reminders app.,Opening Applications
Launch the podcast app for me.,Opening Applications
Can you start the audiobook app?,Opening Applications
Open my banking app to check my balance.,Opening Applications
Please launch the magnifier app.,Opening Applications
Start the flashlight.,Opening Applications
Can you open the grocery shopping app?,Opening Applications
Open my medication reminder app.,Opening Applications
Please start the alarm clock app.,Opening Applications
Can you open the meditation app?,Opening Applications
Launch the exercise tracker.,Opening Applications
Open the appointment scheduler.,Opening Applications
Please open the notes app for a shopping list.,Opening Applications
Start my browser to check for recipes.,Opening Applications
Can you open my translation app?,Opening Applications
Open my video editor app.,Opening Applications
Launch the senior fitness app.,Opening Applications
Please open the Zoom app for my meeting.,Opening Applications
Start the audiobook player.,Opening Applications
Open my stock market app.,Opening Applications
Can you launch my digital wallet?,Opening Applications
Open the document viewer.,Opening Applications
Start my WhatsApp video chat.,Opening Applications  
